"EPU","date","source","BottomT.mean","BottomT.sd"
"GB",1959-01-01,"ROMS",8.16948316045679,2.40360343329496
"GB",1959-01-02,"ROMS",8.06614562582511,2.28780500384428
"GB",1959-01-03,"ROMS",8.03738246342311,2.25293188018063
"GB",1959-01-04,"ROMS",7.9599203453041,2.25293498317183
"GB",1959-01-05,"ROMS",7.88196813257841,2.27016412231601
"GB",1959-01-06,"ROMS",7.50561237421173,2.34619153556596
"GB",1959-01-07,"ROMS",7.04699479487653,2.38783335378919
"GB",1959-01-08,"ROMS",6.77355238809608,2.34291004294141
"GB",1959-01-09,"ROMS",6.61778257686931,2.27749671777874
"GB",1959-01-10,"ROMS",6.49515836915145,2.27176730496067
"GB",1959-01-11,"ROMS",6.38349403226032,2.24451705255845
"GB",1959-01-12,"ROMS",6.28080482379748,2.2148556760787
"GB",1959-01-13,"ROMS",6.20921873251119,2.16307002142383
"GB",1959-01-14,"ROMS",6.17218014705353,2.12109672257832
"GB",1959-01-15,"ROMS",6.12755053017575,2.0820820213529
"GB",1959-01-16,"ROMS",6.11018637725367,2.05516102387318
"GB",1959-01-17,"ROMS",6.12718966101798,2.03115030480865
"GB",1959-01-18,"ROMS",6.08698679084102,2.08876838820134
"GB",1959-01-19,"ROMS",6.04171796655282,2.11679187744876
"GB",1959-01-20,"ROMS",5.97878294571554,2.08383158283082
"GB",1959-01-21,"ROMS",5.94748896310249,2.04515438408374
"GB",1959-01-22,"ROMS",5.94565798495359,1.97603811366942
"GB",1959-01-23,"ROMS",5.97779762483417,1.92707043780302
"GB",1959-01-24,"ROMS",5.91366390711986,1.95162974863823
"GB",1959-01-25,"ROMS",5.80681557301432,1.93521131406524
"GB",1959-01-26,"ROMS",5.7476584678874,1.89023366833101
"GB",1959-01-27,"ROMS",5.63523551026502,1.85116913734972
"GB",1959-01-28,"ROMS",5.57587189205851,1.79285991049665
"GB",1959-01-29,"ROMS",5.53287108743993,1.74355775904489
"GB",1959-01-30,"ROMS",5.51038657365224,1.70918563558232
"GB",1959-01-31,"ROMS",5.52568356499362,1.69968560300223
"GB",1959-02-01,"ROMS",5.47159913812692,1.73025741017508
"GB",1959-02-02,"ROMS",5.28486082975108,1.73919060573647
"GB",1959-02-03,"ROMS",5.11908222348071,1.70613778439802
"GB",1959-02-04,"ROMS",5.07558218103189,1.71049173615352
"GB",1959-02-05,"ROMS",5.11795453723663,1.72446484741072
"GB",1959-02-06,"ROMS",5.11486741681941,1.71751000747388
"GB",1959-02-07,"ROMS",5.02570541514657,1.69658112802114
"GB",1959-02-08,"ROMS",4.91358913423923,1.701888779396
"GB",1959-02-09,"ROMS",4.84031396613528,1.72914194878469
"GB",1959-02-10,"ROMS",4.71488845953718,1.6679407348091
"GB",1959-02-11,"ROMS",4.73070084987781,1.6332946987175
"GB",1959-02-12,"ROMS",4.68907209912028,1.57982669682583
"GB",1959-02-13,"ROMS",4.60041228173157,1.52514654261269
"GB",1959-02-14,"ROMS",4.61821766982142,1.53962553514216
"GB",1959-02-15,"ROMS",4.63808706893514,1.54920969448511
"GB",1959-02-16,"ROMS",4.62382089966335,1.53040456176294
"GB",1959-02-17,"ROMS",4.58223385650378,1.49155995826683
"GB",1959-02-18,"ROMS",4.59630805451889,1.47037896300274
"GB",1959-02-19,"ROMS",4.61090089508574,1.43793592092402
"GB",1959-02-20,"ROMS",4.5609131939351,1.44238491449852
"GB",1959-02-21,"ROMS",4.43228604730505,1.52842099924171
"GB",1959-02-22,"ROMS",4.34573807721384,1.57559514690712
"GB",1959-02-23,"ROMS",4.21992492019938,1.56430730257075
"GB",1959-02-24,"ROMS",4.17029451855566,1.48589511646506
"GB",1959-02-25,"ROMS",4.15741601940569,1.42977492599699
"GB",1959-02-26,"ROMS",4.11011964938818,1.39172605886943
"GB",1959-02-27,"ROMS",4.10914151983049,1.36797521955057
"GB",1959-02-28,"ROMS",4.12929402610574,1.34836043071955
"GB",1959-03-01,"ROMS",4.1537374713673,1.33352407005908
"GB",1959-03-02,"ROMS",4.19071043168123,1.32377717036904
