"EPU","date","source","BottomT.mean","BottomT.sd"
"GOM",1959-01-01,"ROMS",7.31795823293273,1.2309711540578
"GOM",1959-01-02,"ROMS",7.3177082423735,1.23143154438898
"GOM",1959-01-03,"ROMS",7.31805321746516,1.2296390200189
"GOM",1959-01-04,"ROMS",7.31955181709959,1.2180243099682
"GOM",1959-01-05,"ROMS",7.32633021403686,1.19685758900675
"GOM",1959-01-06,"ROMS",7.27087573525227,1.26577284933779
"GOM",1959-01-07,"ROMS",7.19490517666304,1.37130576629833
"GOM",1959-01-08,"ROMS",7.16237765627193,1.41684579367437
"GOM",1959-01-09,"ROMS",7.14796940149536,1.43943934327847
"GOM",1959-01-10,"ROMS",7.13104319878768,1.46246450010927
"GOM",1959-01-11,"ROMS",7.11895613139396,1.48053833054615
"GOM",1959-01-12,"ROMS",7.11028847053679,1.49117664381973
"GOM",1959-01-13,"ROMS",7.1137646914039,1.48201449922946
"GOM",1959-01-14,"ROMS",7.12553715922848,1.46708159119264
"GOM",1959-01-15,"ROMS",7.12843078196176,1.46633623095368
"GOM",1959-01-16,"ROMS",7.14444975641095,1.44461633109656
"GOM",1959-01-17,"ROMS",7.16640303668424,1.41843698454412
"GOM",1959-01-18,"ROMS",7.18262175484949,1.41231054214002
"GOM",1959-01-19,"ROMS",7.1976682846245,1.39739335272612
"GOM",1959-01-20,"ROMS",7.21176038041105,1.38755620766985
"GOM",1959-01-21,"ROMS",7.23010350920148,1.36316472894712
"GOM",1959-01-22,"ROMS",7.24710918379034,1.3375682007115
"GOM",1959-01-23,"ROMS",7.27096332600081,1.29783836284483
"GOM",1959-01-24,"ROMS",7.27002993449409,1.29161345700053
"GOM",1959-01-25,"ROMS",7.26197091823472,1.29588077246815
"GOM",1959-01-26,"ROMS",7.25521043804524,1.29971962126565
"GOM",1959-01-27,"ROMS",7.22316265897526,1.33847952953145
"GOM",1959-01-28,"ROMS",7.21147840691838,1.35075490561173
"GOM",1959-01-29,"ROMS",7.2056353869479,1.35377900202857
"GOM",1959-01-30,"ROMS",7.20756096017948,1.34323920050217
"GOM",1959-01-31,"ROMS",7.22326632970406,1.31934891219241
"GOM",1959-02-01,"ROMS",7.2182053376061,1.31806381759023
"GOM",1959-02-02,"ROMS",7.19573152563046,1.35302224458027
"GOM",1959-02-03,"ROMS",7.17816828124273,1.38448703831811
"GOM",1959-02-04,"ROMS",7.18294574821276,1.38258984270975
"GOM",1959-02-05,"ROMS",7.20146054093281,1.36308122896287
"GOM",1959-02-06,"ROMS",7.20977460380795,1.34941842981333
"GOM",1959-02-07,"ROMS",7.19535000255327,1.36459431742917
"GOM",1959-02-08,"ROMS",7.15570124824246,1.39981961292096
