"EPU","date","source","BottomT.mean","BottomT.sd"
"MAB",1959-01-01,"ROMS",9.42110713125581,2.69369389460377
"MAB",1959-01-02,"ROMS",9.33877732215614,2.66552143592426
"MAB",1959-01-03,"ROMS",9.34467821229192,2.63061634023105
"MAB",1959-01-04,"ROMS",9.33559367707213,2.58401738663006
"MAB",1959-01-05,"ROMS",9.27576983784828,2.56744368436944
"MAB",1959-01-06,"ROMS",8.92307844816811,2.62151056297635
"MAB",1959-01-07,"ROMS",8.60244052552933,2.71362149203614
"MAB",1959-01-08,"ROMS",8.42279406060608,2.78558303541116
"MAB",1959-01-09,"ROMS",8.29625138120115,2.796119763718
"MAB",1959-01-10,"ROMS",8.12663032000216,2.81960732722058
"MAB",1959-01-11,"ROMS",7.94171909518796,2.85612475464469
"MAB",1959-01-12,"ROMS",7.79054352952408,2.87110610628031
"MAB",1959-01-13,"ROMS",7.74280567683818,2.84566989021968
"MAB",1959-01-14,"ROMS",7.70684477839268,2.82245991894908
"MAB",1959-01-15,"ROMS",7.66929809081894,2.80536981371042
"MAB",1959-01-16,"ROMS",7.72797611096726,2.77987957223086
"MAB",1959-01-17,"ROMS",7.78472986719398,2.73505042170643
"MAB",1959-01-18,"ROMS",7.69735850558131,2.77269172966954
"MAB",1959-01-19,"ROMS",7.69732901595473,2.78062856565882
"MAB",1959-01-20,"ROMS",7.67991736389757,2.77599269299147
"MAB",1959-01-21,"ROMS",7.75539527233714,2.78239560929041
"MAB",1959-01-22,"ROMS",7.87054772277746,2.77170862823984
"MAB",1959-01-23,"ROMS",7.96168275311361,2.68623960277998
"MAB",1959-01-24,"ROMS",7.94448456457708,2.72354973263664
"MAB",1959-01-25,"ROMS",7.94584025197694,2.7436320143939
"MAB",1959-01-26,"ROMS",7.97871468587894,2.7512988872649
"MAB",1959-01-27,"ROMS",7.87482711405019,2.74685082448978
"MAB",1959-01-28,"ROMS",7.79772969708119,2.69653093849373
"MAB",1959-01-29,"ROMS",7.7432186269168,2.65350018330385
"MAB",1959-01-30,"ROMS",7.74789964952462,2.62626554456094
"MAB",1959-01-31,"ROMS",7.83167823933615,2.63348007608244
"MAB",1959-02-01,"ROMS",7.79927332824473,2.63301349311251
"MAB",1959-02-02,"ROMS",7.65677628158391,2.63055431581187
"MAB",1959-02-03,"ROMS",7.48811540523526,2.59935481796658
"MAB",1959-02-04,"ROMS",7.48243188979941,2.58931976686022
"MAB",1959-02-05,"ROMS",7.58579734679641,2.59736716627836
"MAB",1959-02-06,"ROMS",7.60418959705389,2.58884448466474
