"EPU","date","source","BottomT.mean","BottomT.sd"
"SS",1959-01-01,"ROMS",5.3697910968584,2.22742991252857
"SS",1959-01-02,"ROMS",5.30474430534979,2.20550286864202
"SS",1959-01-03,"ROMS",5.28202763207389,2.13756023386051
"SS",1959-01-04,"ROMS",5.29491086406562,2.07803528576512
"SS",1959-01-05,"ROMS",5.33714749961712,2.01711248386923
"SS",1959-01-06,"ROMS",5.258931408705,2.04279522176607
"SS",1959-01-07,"ROMS",5.16592506582804,2.09916416163865
"SS",1959-01-08,"ROMS",5.12925931310836,2.10448757444793
"SS",1959-01-09,"ROMS",5.11468578134983,2.08177970409654
"SS",1959-01-10,"ROMS",5.12050238177749,2.03869767563174
"SS",1959-01-11,"ROMS",5.11512477527214,2.01150638593204
"SS",1959-01-12,"ROMS",5.11829035827753,1.97860091672307
"SS",1959-01-13,"ROMS",5.12839511615099,1.95324146139506
"SS",1959-01-14,"ROMS",5.14761434387387,1.91579642737715
"SS",1959-01-15,"ROMS",5.15914685117986,1.8858134781049
"SS",1959-01-16,"ROMS",5.18220416867854,1.84934352747079
"SS",1959-01-17,"ROMS",5.20277934341334,1.7946052834846
"SS",1959-01-18,"ROMS",5.23846460556559,1.71928416689689
"SS",1959-01-19,"ROMS",5.30214908969311,1.67579921339257
"SS",1959-01-20,"ROMS",5.31839577083976,1.66397439101094
"SS",1959-01-21,"ROMS",5.35069611509338,1.62642980153086
"SS",1959-01-22,"ROMS",5.37315323516613,1.60670722139067
"SS",1959-01-23,"ROMS",5.42116720470157,1.55053842835893
"SS",1959-01-24,"ROMS",5.47404239529568,1.51611649826356
"SS",1959-01-25,"ROMS",5.48956526326769,1.50801886516298
"SS",1959-01-26,"ROMS",5.49300936251196,1.4949124337671
"SS",1959-01-27,"ROMS",5.48413542481779,1.50972267684419
"SS",1959-01-28,"ROMS",5.45796617630481,1.51198462883392
"SS",1959-01-29,"ROMS",5.43936833716531,1.51014332280303
"SS",1959-01-30,"ROMS",5.44279257031797,1.50236841144655
