"","source","year","BottomT.mean","BottomT.sd","BottomT.median","BottomT.min","BottomT.max","epu","season","BottomT.mean.ref","BottomT.mean.anomaly"
"1","GLORYS","1993",11.414281560232,4.46868484650231,10.536301612854,3.38764619827271,30.0368976593018,"MAB","summer",11.9716547144282,-0.557373154196179
"2","GLORYS","1994",11.8773670366244,4.62592382814823,11.3346662521362,2.93279814720154,28.3947563171387,"MAB","summer",11.9716547144282,-0.0942876778038002
"3","GLORYS","1995",12.9689589383026,5.27468362601052,11.7389755249023,3.2404248714447,29.6435737609863,"MAB","summer",11.9716547144282,0.997304223874384
"4","GLORYS","1996",10.766702209545,4.79769188592163,9.15637683868408,3.33124780654907,28.7609786987305,"MAB","summer",11.9716547144282,-1.20495250488326
"5","GLORYS","1997",12.0284115948994,4.96695093574707,10.7538375854492,3.26606035232544,28.8027286529541,"MAB","summer",11.9716547144282,0.0567568804712035
"6","GLORYS","1998",11.3538733927703,4.92975563379759,10.0499591827393,3.32612085342407,28.9594707489014,"MAB","summer",11.9716547144282,-0.61778132165796
"7","GLORYS","1999",13.7129543861952,4.70786657868007,12.7226476669312,3.19867563247681,29.8340091705322,"MAB","summer",11.9716547144282,1.74129967176702
"8","GLORYS","2000",12.3229781185157,4.61341230205486,10.9003267288208,2.86321616172791,28.2226333618164,"MAB","summer",11.9716547144282,0.351323404087502
"9","GLORYS","2001",12.588825090576,4.58793257386207,11.8455457687378,3.31659913063049,28.2804946899414,"MAB","summer",11.9716547144282,0.617170376147783
"10","GLORYS","2002",12.8647209743891,5.11815198249515,11.6488847732544,3.40742206573486,29.4677867889404,"MAB","summer",11.9716547144282,0.893066259960891
"11","GLORYS","2003",11.3644574923326,4.00888729964177,10.5403299331665,3.33124780654907,28.1794185638428,"MAB","summer",11.9716547144282,-0.607197222095662
"12","GLORYS","2004",9.85100669640999,4.72551201459714,8.58067607879639,3.16278576850891,29.8340091705322,"MAB","summer",11.9716547144282,-2.12064801801824
"13","GLORYS","2005",11.6674886124449,4.17682148988538,10.8505201339722,3.34882664680481,30.2544326782227,"MAB","summer",11.9716547144282,-0.304166101983306
"14","GLORYS","2006",13.1156306756708,4.53160406143489,11.8774070739746,2.95037698745728,29.5608081817627,"MAB","summer",11.9716547144282,1.14397596124258
"15","GLORYS","2007",11.1783631673956,5.0454947038777,9.70644283294678,3.35248875617981,29.2092342376709,"MAB","summer",11.9716547144282,-0.793291547032663
"16","GLORYS","2008",12.3342484142288,4.92605676857456,10.7377243041992,2.84783482551575,27.8483543395996,"MAB","summer",11.9716547144282,0.362593699800591
