"","source","year","BottomT.mean","BottomT.sd","BottomT.median","BottomT.min","BottomT.max","epu","season","BottomT.mean.ref","BottomT.mean.anomaly"
"1","GLORYS","1993",8.09528265596465,1.89354278565405,7.86654233932495,2.89983820915222,17.1099891662598,"SS","summer",8.02419166248615,0.071090993478494
"2","GLORYS","1994",8.8685107410537,1.28997925681989,8.76964664459229,3.68355369567871,18.1778926849365,"SS","summer",8.02419166248615,0.844319078567549
"3","GLORYS","1995",8.30177610754976,1.62447268871456,8.46128749847412,2.49259924888611,17.0711688995361,"SS","summer",8.02419166248615,0.27758444506361
"4","GLORYS","1996",7.44216738296259,1.6822017101953,7.758873462677,2.56218147277832,16.2413101196289,"SS","summer",8.02419166248615,-0.582024279523569
"5","GLORYS","1997",8.1522921372814,1.29743399036727,8.09360027313232,3.77877140045166,15.8274784088135,"SS","summer",8.02419166248615,0.128100474795247
"6","GLORYS","1998",6.89444364074459,1.34791176477544,6.7107458114624,3.07123017311096,15.4956817626953,"SS","summer",8.02419166248615,-1.12974802174157
"7","GLORYS","1999",8.74222035279963,1.61680020401587,8.52354526519775,3.75093841552734,17.9698791503906,"SS","summer",8.02419166248615,0.718028690313478
"8","GLORYS","2000",8.41197071936074,1.25194289990995,8.27964115142822,4.03878927230835,16.728385925293,"SS","summer",8.02419166248615,0.387779056874589
"9","GLORYS","2001",7.80945559505018,1.31673509040941,7.769127368927,3.66890478134155,16.6397590637207,"SS","summer",8.02419166248615,-0.214736067435971
"10","GLORYS","2002",8.7363725237097,1.37731422329923,8.51695346832275,3.84835362434387,17.4513072967529,"SS","summer",8.02419166248615,0.712180861223549
"11","GLORYS","2003",7.86177129746267,1.47695439626353,7.79842519760132,3.02655100822449,16.9202861785889,"SS","summer",8.02419166248615,-0.162420365023483
"12","GLORYS","2004",6.89000167250094,1.54790626354431,6.86748886108398,1.6371043920517,15.2752161026001,"SS","summer",8.02419166248615,-1.13418998998521
"13","GLORYS","2005",8.00916469552243,1.51220704336327,7.88265657424927,3.37080001831055,16.8448448181152,"SS","summer",8.02419166248615,-0.0150269669637222
"14","GLORYS","2006",8.69764622631721,1.32199420689052,8.38731002807617,3.77437663078308,16.8397159576416,"SS","summer",8.02419166248615,0.673454563831058
"15","GLORYS","2007",7.29559597363946,1.2154533117586,7.00445556640625,3.40009760856628,16.2764663696289,"SS","summer",8.02419166248615,-0.728595688846697
"16","GLORYS","2008",7.6106234905096,1.37776859145635,7.37067794799805,3.21259188652039,16.9239482879639,"SS","summer",8.02419166248615,-0.413568171976552
"17","GLORYS","2009",7.99082535761016,1.539690447294,7.69222068786621,3.84981846809387,18.2840976715088,"SS","summer",8.02419166248615,-0.0333663048759929
"18","GLORYS","2010",8.62532935471134,1.39373170282624,8.52427768707275,2.1915647983551,17.9947814941406,"SS","summer",8.02419166248615,0.601137692225183
"19","GLORYS","2011",8.40981501482444,1.23817135571569,8.21225643157959,3.20892977714539,18.1449317932129,"SS","summer",8.02419166248615,0.385623352338282
"20","GLORYS","2012",9.56118141698536,1.41298585225837,9.2003231048584,4.10617399215698,19.3007297515869,"SS","summer",8.02419166248615,1.5369897544992
"21","GLORYS","2013",8.91634891298104,1.14550559579644,8.83629894256592,4.10617399215698,16.3079624176025,"SS","summer",8.02419166248615,0.892157250494884
"22","GLORYS","2014",8.44249379915563,1.62777037805623,8.10971450805664,3.57295441627502,18.0614337921143,"SS","summer",8.02419166248615,0.418302136669475
"23","GLORYS","2015",8.78608557153985,1.47674005441413,8.8106632232666,3.62202835083008,19.4391613006592,"SS","summer",8.02419166248615,0.761893909053692
"24","GLORYS","2016",9.23328417428392,1.42107588274316,9.09704875946045,3.97799611091614,18.3595390319824,"SS","summer",8.02419166248615,1.20909251179777
"25","GLORYS","2017",8.81967163375951,1.45662234353383,8.72130489349365,3.89156770706177,17.6966762542725,"SS","summer",8.02419166248615,0.795479971273355
"26","GLORYS","2018",9.25133202859681,1.51186134342852,9.05383491516113,3.63887453079224,19.6435127258301,"SS","summer",8.02419166248615,1.22714036611065
"27","GLORYS","2019",9.45366229493763,1.74528879245644,10.0111389160156,2.7189245223999,16.1453590393066,"SS","summer",8.02419166248615,1.42947063245147
"28","GLORYS","2020",9.16601032968554,1.19751817282146,9.24500274658203,3.66231274604797,17.7486801147461,"SS","summer",8.02419166248615,1.14181866719938
"29","PSY","2021",9.12934685665834,1.97643923464777,9.12162399291992,1.93137443065643,18.7850437164307,"SS","summer",8.02419166248615,1.10515519417218
"30","PSY","2022",9.19765207548409,1.37545246877351,9.02432012557983,4.02803087234497,18.7125205993652,"SS","summer",8.02419166248615,1.17346041299793
"31","PSY","2023",8.6129177469278,1.46373984721337,8.53659725189209,4.05539274215698,18.2341632843018,"SS","summer",8.02419166248615,0.588726084441644
"32","ROMS","1959",7.69149590576496,1.13218352348442,7.66801500320435,4.1483998298645,11.8417701721191,"SS","summer",8.02419166248615,-0.332695756721199
"33","ROMS","1960",7.16928450949676,1.05932951988864,7.04154014587402,3.84130001068115,11.0862798690796,"SS","summer",8.02419166248615,-0.8549071529894
"34","ROMS","1961",7.35485940836663,1.14693875574882,7.18867015838623,3.80066990852356,12.1305704116821,"SS","summer",8.02419166248615,-0.669332254119529
"35","ROMS","1962",7.08234713665481,1.04834310015809,7.00866985321045,3.49070000648499,11.1743297576904,"SS","summer",8.02419166248615,-0.941844525831347
"36","ROMS","1963",7.04669316094696,0.913584725036799,7.02704501152039,3.96543002128601,11.3892097473145,"SS","summer",8.02419166248615,-0.977498501539191
"37","ROMS","1964",7.13836662169776,0.845875901050054,7.02297019958496,4.1956000328064,10.6169595718384,"SS","summer",8.02419166248615,-0.885825040788392
"38","ROMS","1965",6.6876556901083,0.851148084052799,6.75003004074097,3.4031400680542,11.0558004379272,"SS","summer",8.02419166248615,-1.33653597237786
"39","ROMS","1966",7.19556202444306,0.831959246804725,7.14721012115479,3.53472995758057,11.221489906311,"SS","summer",8.02419166248615,-0.828629638043096
"40","ROMS","1967",7.35684224227609,0.886993289221009,7.29819011688232,3.86093997955322,12.2507801055908,"SS","summer",8.02419166248615,-0.667349420210063
"41","ROMS","1968",7.67810397196138,1.0623256868784,7.69770002365112,2.97198009490967,11.8544797897339,"SS","summer",8.02419166248615,-0.346087690524777
"42","ROMS","1969",7.75280784294528,1.00742861432462,7.68880009651184,4.13751983642578,12.996919631958,"SS","summer",8.02419166248615,-0.27138381954087
"43","ROMS","1970",8.31334516372759,1.01254824624703,8.32146501541138,4.13638019561768,11.9975099563599,"SS","summer",8.02419166248615,0.289153501241433
"44","ROMS","1971",7.45483069415113,0.942854534380355,7.37896013259888,3.96728992462158,11.4571695327759,"SS","summer",8.02419166248615,-0.569360968335024
"45","ROMS","1972",8.01926590771469,0.912151406127709,8.04649496078491,3.95878005027771,12.0362901687622,"SS","summer",8.02419166248615,-0.00492575477146673
"46","ROMS","1973",7.64197312271533,0.988329175384981,7.66500496864319,3.98667001724243,11.9961004257202,"SS","summer",8.02419166248615,-0.382218539770824
"47","ROMS","1974",9.2882099912314,1.19476509626491,9.16589498519897,4.93373012542725,13.735369682312,"SS","summer",8.02419166248615,1.26401832874525
"48","ROMS","1975",8.59474072478516,0.852978676477955,8.60080480575562,5.34869003295898,13.1045303344727,"SS","summer",8.02419166248615,0.570549062299008
"49","ROMS","1976",9.24943021215793,0.916899810978506,9.26112508773804,5.39151000976562,13.7723999023438,"SS","summer",8.02419166248615,1.22523854967177
"50","ROMS","1977",8.38919106322667,1.11450446037278,8.25174474716187,5.01538991928101,13.0602502822876,"SS","summer",8.02419166248615,0.364999400740519
